"dataset","filename","epsilon","capped","cost_add","cost_delete","cost_environment","cost_wait","type"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps0-001_capped_2_adjacency_df.csv",0.001,TRUE,NA,NA,NA,NA,"adjacency"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps0-001_capped_2_assemblage.csv",0.001,TRUE,NA,NA,NA,NA,"assemblage"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps0-001_uncapped_adjacency_df.csv",0.001,FALSE,NA,NA,NA,NA,"adjacency"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps0-001_uncapped_assemblage.csv",0.001,FALSE,NA,NA,NA,NA,"assemblage"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps0-1_capped_2_adjacency_df.csv",0.1,TRUE,NA,NA,NA,NA,"adjacency"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps0-1_capped_2_assemblage.csv",0.1,TRUE,NA,NA,NA,NA,"assemblage"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps0-1_uncapped_adjacency_df.csv",0.1,FALSE,NA,NA,NA,NA,"adjacency"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps0-1_uncapped_assemblage.csv",0.1,FALSE,NA,NA,NA,NA,"assemblage"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps1-0e-5_capped_2_adjacency_df.csv",1e-05,TRUE,NA,NA,NA,NA,"adjacency"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps1-0e-5_capped_2_assemblage.csv",1e-05,TRUE,NA,NA,NA,NA,"assemblage"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps1-0e-5_uncapped_adjacency_df.csv",1e-05,FALSE,NA,NA,NA,NA,"adjacency"
"Bucci","results/Bucci/Fri_18_Nov_2022_20_07/eps1-0e-5_uncapped_assemblage.csv",1e-05,FALSE,NA,NA,NA,NA,"assemblage"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps0-001_capped_2_adjacency_df.csv",0.001,TRUE,NA,NA,NA,NA,"adjacency"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps0-001_capped_2_assemblage.csv",0.001,TRUE,NA,NA,NA,NA,"assemblage"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps0-001_uncapped_adjacency_df.csv",0.001,FALSE,NA,NA,NA,NA,"adjacency"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps0-001_uncapped_assemblage.csv",0.001,FALSE,NA,NA,NA,NA,"assemblage"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps0-1_capped_2_adjacency_df.csv",0.1,TRUE,NA,NA,NA,NA,"adjacency"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps0-1_capped_2_assemblage.csv",0.1,TRUE,NA,NA,NA,NA,"assemblage"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps0-1_uncapped_adjacency_df.csv",0.1,FALSE,NA,NA,NA,NA,"adjacency"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps0-1_uncapped_assemblage.csv",0.1,FALSE,NA,NA,NA,NA,"assemblage"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps1-0e-5_capped_2_adjacency_df.csv",1e-05,TRUE,NA,NA,NA,NA,"adjacency"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps1-0e-5_capped_2_assemblage.csv",1e-05,TRUE,NA,NA,NA,NA,"assemblage"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_adjacency_df.csv",1e-05,FALSE,NA,NA,NA,NA,"adjacency"
"Carrara","results/Carrara/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_assemblage.csv",1e-05,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-001_capped_2_adjacency_df.csv",0.001,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-001_capped_2_assemblage.csv",0.001,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-001_uncapped_adjacency_df.csv",0.001,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-001_uncapped_assemblage.csv",0.001,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-1_capped_2_adjacency_df.csv",0.1,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-1_capped_2_assemblage.csv",0.1,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-1_uncapped_adjacency_df.csv",0.1,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps0-1_uncapped_assemblage.csv",0.1,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps1-0e-5_capped_2_adjacency_df.csv",1e-05,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps1-0e-5_capped_2_assemblage.csv",1e-05,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_adjacency_df.csv",1e-05,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard","results/Maynard/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_assemblage.csv",1e-05,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps0-001_capped_2_adjacency_df.csv",0.001,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps0-001_capped_2_assemblage.csv",0.001,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps0-001_uncapped_adjacency_df.csv",0.001,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps0-001_uncapped_assemblage.csv",0.001,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps0-1_capped_2_adjacency_df.csv",0.1,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps0-1_capped_2_assemblage.csv",0.1,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps0-1_uncapped_adjacency_df.csv",0.1,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps0-1_uncapped_assemblage.csv",0.1,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps1-0e-5_capped_2_adjacency_df.csv",1e-05,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps1-0e-5_capped_2_assemblage.csv",1e-05,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps1-0e-5_uncapped_adjacency_df.csv",1e-05,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard15-17-19-21-23","results/Maynard15-17-19-21-23/Fri_18_Nov_2022_20_07/eps1-0e-5_uncapped_assemblage.csv",1e-05,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps0-001_capped_2_adjacency_df.csv",0.001,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps0-001_capped_2_assemblage.csv",0.001,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps0-001_uncapped_adjacency_df.csv",0.001,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps0-001_uncapped_assemblage.csv",0.001,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps0-1_capped_2_adjacency_df.csv",0.1,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps0-1_capped_2_assemblage.csv",0.1,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps0-1_uncapped_adjacency_df.csv",0.1,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps0-1_uncapped_assemblage.csv",0.1,FALSE,NA,NA,NA,NA,"assemblage"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps1-0e-5_capped_2_adjacency_df.csv",1e-05,TRUE,NA,NA,NA,NA,"adjacency"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps1-0e-5_capped_2_assemblage.csv",1e-05,TRUE,NA,NA,NA,NA,"assemblage"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps1-0e-5_uncapped_adjacency_df.csv",1e-05,FALSE,NA,NA,NA,NA,"adjacency"
"Maynard15-19-23","results/Maynard15-19-23/Fri_18_Nov_2022_20_07/eps1-0e-5_uncapped_assemblage.csv",1e-05,FALSE,NA,NA,NA,NA,"assemblage"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps0-001_capped_2_adjacency_df.csv",0.001,TRUE,NA,NA,NA,NA,"adjacency"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps0-001_capped_2_assemblage.csv",0.001,TRUE,NA,NA,NA,NA,"assemblage"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps0-001_uncapped_adjacency_df.csv",0.001,FALSE,NA,NA,NA,NA,"adjacency"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps0-001_uncapped_assemblage.csv",0.001,FALSE,NA,NA,NA,NA,"assemblage"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps0-1_capped_2_adjacency_df.csv",0.1,TRUE,NA,NA,NA,NA,"adjacency"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps0-1_capped_2_assemblage.csv",0.1,TRUE,NA,NA,NA,NA,"assemblage"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps0-1_uncapped_adjacency_df.csv",0.1,FALSE,NA,NA,NA,NA,"adjacency"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps0-1_uncapped_assemblage.csv",0.1,FALSE,NA,NA,NA,NA,"assemblage"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps1-0e-5_capped_2_adjacency_df.csv",1e-05,TRUE,NA,NA,NA,NA,"adjacency"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps1-0e-5_capped_2_assemblage.csv",1e-05,TRUE,NA,NA,NA,NA,"assemblage"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_adjacency_df.csv",1e-05,FALSE,NA,NA,NA,NA,"adjacency"
"Venturelli","results/Venturelli/Fri_18_Nov_2022_20_08/eps1-0e-5_uncapped_assemblage.csv",1e-05,FALSE,NA,NA,NA,NA,"assemblage"
